@relation fire.detection

@attribute Red numeric
@attribute Green numeric
@attribute Blue numeric
@attribute Hue numeric
@attribute Saturation numeric
@attribute Brightness numeric
@attribute Class {TRUE, FALSE}

@data
%Estoy en: /projects/examen/src/../src/no/100127121532_1_900x600.jpg
1424.370605,1129.261841,1021.897522,3.641970,3.722433,5.676863,FALSE
%Estoy en: /projects/examen/src/../src/si/fires-of-tamatea-1.jpg
1144.628784,905.462524,642.439392,1.360690,5.424323,4.501810,FALSE
2012.569336,1694.916870,1015.944397,1.369557,5.975757,7.892548,FALSE
1687.445679,1340.877441,658.870605,1.330002,7.559444,6.630173,FALSE
2097.165527,1560.838135,657.797485,1.211487,8.305892,8.224863,FALSE
1718.481934,1826.633789,1356.588135,3.020922,4.417562,7.737261,FALSE
1031.379395,609.168762,409.697510,0.603436,7.192731,4.044769,FALSE
1587.297485,1207.905029,664.114990,1.156938,7.019702,6.224638,FALSE
1221.417480,869.564392,466.321259,1.178454,7.554410,4.795912,FALSE
1909.035034,1477.724365,593.002502,1.337701,8.395459,7.487368,FALSE
1973.763184,1685.222534,1017.224976,1.834432,6.026566,8.076098,FALSE
2043.283081,1234.130005,583.346863,0.851941,8.528801,8.012992,FALSE
1280.586914,804.809387,456.978760,0.833870,7.740761,5.022024,FALSE
780.007507,479.361877,351.225616,3.145555,6.544360,3.062416,FALSE
1533.753174,1250.466309,573.618103,1.401374,7.614670,6.026257,FALSE
2588.091309,2105.135010,849.756226,1.428577,8.121334,10.156417,FALSE
1966.948730,1082.277466,506.990631,0.751471,8.966518,7.713641,FALSE
1229.199951,613.793762,371.644989,1.103003,8.285807,4.820471,FALSE
640.858765,424.398743,341.917511,6.006258,5.904111,2.549111,FALSE
1051.976196,829.152527,429.924988,1.319417,7.335805,4.139978,FALSE
2215.292480,1726.396851,635.488098,1.299168,8.632330,8.689816,FALSE
